DD/MM/YY,Daily Cases,Imported Cases
13/03/2020,1,1
15/03/2020,3,0
16/03/2020,1,1
17/03/2020,1,1
19/03/2020,3,2
20/03/2020,2,2
24/03/2020,1,1
27/03/2020,3,2
29/03/2020,3,3
31/03/2020,1,1
1/04/2020,3,2
3/04/2020,4,1
4/04/2020,3,3
5/04/2020,5,4
6/04/2020,0,0
7/04/2020,8,7
8/04/2020,2,2
9/04/2020,1,1
10/04/2020,9,9
11/04/2020,4,3
12/04/2020,2,2
13/04/2020,3,0
14/04/2020,8,4
15/04/2020,3,1
16/04/2020,8,7
17/04/2020,2,1
18/04/2020,5,2
19/04/2020,3,2
20/04/2020,0,0
21/04/2020,2,1
22/04/2020,1,1
23/04/2020,0,0
24/04/2020,1,1
25/04/2020,1,0
26/04/2020,0,0
27/04/2020,1,1
28/04/2020,2,2
29/04/2020,3,2
30/04/2020,0,0
1/05/2020,0,0
2/05/2020,0,0
3/05/2020,0,0
4/05/2020,0,0
5/05/2020,2,0
6/05/2020,4,0
7/05/2020,21,3
8/05/2020,3,0
9/05/2020,13,2
10/05/2020,21,1
11/05/2020,5,0
12/05/2020,0,0
13/05/2020,0,0
14/05/2020,5,0
15/05/2020,8,2
16/05/2020,2,2
17/05/2020,4,1
18/05/2020,29,1
19/05/2020,9,1
20/05/2020,9,4
21/05/2020,3,1
22/05/2020,18,6
23/05/2020,48,0
24/05/2020,73,1
25/05/2020,56,12
26/05/2020,13,1
27/05/2020,15,0
28/05/2020,94,0
29/05/2020,109,0
30/05/2020,56,0
31/05/2020,99,0
1/06/2020,72,0
2/06/2020,67,0
3/06/2020,126,0
4/06/2020,123,0
5/06/2020,138,0
6/06/2020,101,0
7/06/2020,66,0
8/06/2020,115,0
9/06/2020,157,0
10/06/2020,81,0
11/06/2020,87,0
12/06/2020,197,0
